query_id,global_query_index,base_margin_decile,domains,prompt_token_count,preferred_token_count,rejected_token_count,base_margin,base_correct,pair_best_method,lgsd_small_margin,lgsd_small_gain_vs_base,lgsd_small_correct,lgsd_medium_margin,lgsd_medium_gain_vs_base,lgsd_medium_correct,lgsd_large_margin,lgsd_large_gain_vs_base,lgsd_large_correct,lgsd_high_margin,lgsd_high_gain_vs_base,lgsd_high_correct,opsd_margin,opsd_gain_vs_base,opsd_correct,lgsd_large_minus_opsd
arena-pref:heldout:000000,0,2,domain_knowledge;real_world;specificity;technical_accuracy,25,618,536,-0.4145686069053309,False,OPSD,-0.5666270884247742,-0.15205848151944323,False,-0.7256621942251587,-0.3110935873198277,False,-0.7918814262410774,-0.37731281933574645,False,-0.5744818717173628,-0.15991326481203183,False,-0.48097320541070787,-0.06640459850537694,False,-0.3109082208303695
arena-pref:heldout:000001,1,7,domain_knowledge;real_world,24,421,316,0.19180459452032417,True,LGSD-Medium,0.7265918890487022,0.534787294528378,True,0.8388419470019581,0.647037352481634,True,0.7992000818689844,0.6073954873486602,True,0.551182905899833,0.3593783113795088,True,0.5152707257909244,0.3234661312706002,True,0.28392935607806
arena-pref:heldout:000002,2,9,code;complexity;creativity;domain_knowledge;instruction_following;problem_solving;real_world;specificity;technical_accuracy,51,1837,587,0.4111132106345223,True,LGSD-Large,0.9009566937275144,0.48984348309299214,True,0.9633599225116614,0.552246711877139,True,1.042490469202607,0.6313772585680846,True,0.7346774996288293,0.32356428899430706,True,0.815581878402716,0.40446866776819373,True,0.2269085907998909
arena-pref:heldout:000003,3,4,code;complexity;domain_knowledge;instruction_following;real_world;specificity;technical_accuracy,48,1280,1002,-0.09774604958450483,False,OPSD,-0.22394771824577842,-0.12620166866127358,False,-0.22501858675967668,-0.12727253717517184,False,-0.27318347449193214,-0.1754374249074273,False,-0.2371076492968196,-0.13936159971231477,False,-0.20458764256593465,-0.10684159298142981,False,-0.0685958319259975
arena-pref:heldout:000004,4,10,domain_knowledge;real_world;specificity;technical_accuracy,29,342,71,0.7074055526767333,True,LGSD-Large,1.7717380357941355,1.0643324831174021,True,1.7456615225073437,1.0382559698306104,True,2.1041518916664286,1.3967463389896952,True,1.5996700246333488,0.8922644719566155,True,1.5272556881802097,0.8198501355034764,True,0.5768962034862188
arena-pref:heldout:000005,5,2,domain_knowledge;problem_solving;real_world;specificity;technical_accuracy,17,251,73,-0.3051782878785585,False,LGSD-Large,0.4864000830400239,0.7915783709185824,True,1.0867295046856662,1.3919077925642247,True,1.5283686031988402,1.8335468910773987,True,1.1020784549289466,1.4072567428075051,True,1.005661290760079,1.3108395786386375,True,0.5227073124387611
arena-pref:heldout:000006,6,6,code;creativity;domain_knowledge;real_world;specificity;technical_accuracy,18,469,612,0.05591934995859771,True,OPSD,-0.27172377748227694,-0.32764312744087465,False,-0.36806159516727965,-0.42398094512587736,False,-0.5346000296718987,-0.5905193796304964,False,0.02103442452129567,-0.03488492543730204,True,0.054215966321995435,-0.0017033836366022737,True,-0.5888159959938941
arena-pref:heldout:000007,7,8,code;complexity;domain_knowledge;instruction_following;problem_solving;real_world;specificity;technical_accuracy,103,1056,467,0.2496711184950483,True,LGSD-Medium,0.15919631326247308,-0.09047480523257523,True,0.17601384487152727,-0.07365727362352104,True,0.1364391879060438,-0.11323193058900449,True,0.14194090859027186,-0.10773020990477644,True,0.11144220936917981,-0.1382289091258685,True,0.024996978536864
arena-pref:heldout:000008,8,2,code;math,26,361,551,-0.3110292401715967,False,LGSD-Small,-0.48941163199600834,-0.17838239182441162,False,-0.5139439599495105,-0.20291471977791375,False,-0.7118425208024416,-0.40081328063084487,False,-0.5568565982997515,-0.24582735812815482,False,-0.5700899993739071,-0.2590607592023104,False,-0.14175252142853445
arena-pref:heldout:000009,9,5,creativity;domain_knowledge;problem_solving;real_world,56,262,449,-0.02892868785423275,False,LGSD-High,-0.501300351573795,-0.4723716637195623,False,-0.7589166457339434,-0.7299879578797106,False,-0.6228724953294029,-0.5939438074751702,False,-0.4359258919973046,-0.40699720414307183,False,-0.46781278762735656,-0.4388840997731238,False,-0.15505970770204636
