method,method_label,dataset,strict_correct,n,strict_acc1,strict_acc1_percent,budget_cap_hit_count,budget_cap_hit_rate,mean_generated_tokens,hedging_tokens_per_1k,fabricated_reference_count,fabricated_reference_rate,mean_generation_seconds,aggregate_gpu_hours,peak_gpu_allocated_gib,estimand,episodes,delta_vs_base,delta_vs_base_percentage_points,status
base,Base,combined,77,143,0.5384615384615384,53.84615384615385,65,0.45454545454545453,7748.825174825175,4.032192563366249,0,0.0,212.63552700628696,8.446355656083066,16.782519340515137,strict_acc1_full_denominator_unfinished_is_wrong,0,0.0,0.0,complete_current_matched_evaluation
base,Base,amc23,54,83,0.6506024096385542,65.06024096385542,28,0.3373493975903614,6828.578313253012,3.8781026585646434,0,0.0,259.15224726333605,5.974899034126914,16.777591705322266,strict_acc1_full_denominator_unfinished_is_wrong,0,0.0,0.0,complete_current_matched_evaluation
base,Base,aime24,15,30,0.5,50.0,15,0.5,8744.566666666668,4.101594513926743,0,0.0,142.64959144266322,1.188746595355527,16.782519340515137,strict_acc1_full_denominator_unfinished_is_wrong,0,0.0,0.0,complete_current_matched_evaluation
base,Base,aime25,8,30,0.26666666666666666,26.666666666666668,22,0.7333333333333333,9299.1,4.279984084481294,0,0.0,153.92520319207495,1.2827100266006244,16.76301860809326,strict_acc1_full_denominator_unfinished_is_wrong,0,0.0,0.0,complete_current_matched_evaluation
privileged_16,Privilege-SD 16,combined,81,143,0.5664335664335665,56.64335664335665,60,0.4195804195804196,7713.888111888112,3.751294096743137,0,0.0,318.24461210847727,12.641383203197845,16.863823413848877,strict_acc1_full_denominator_unfinished_is_wrong,16,0.027972027972028024,2.7972027972028024,complete_current_matched_evaluation
privileged_16,Privilege-SD 16,amc23,59,83,0.7108433734939759,71.08433734939759,23,0.27710843373493976,6834.963855421687,3.7316984604320096,0,0.0,350.780146707646,8.08743116020406,16.858890533447266,strict_acc1_full_denominator_unfinished_is_wrong,16,0.06024096385542166,6.024096385542165,complete_current_matched_evaluation
privileged_16,Privilege-SD 16,aime24,14,30,0.4666666666666667,46.666666666666664,15,0.5,8669.333333333334,4.052599200246078,0,0.0,268.39185174549544,2.236598764545795,16.863823413848877,strict_acc1_full_denominator_unfinished_is_wrong,16,-0.033333333333333326,-3.3333333333333326,complete_current_matched_evaluation
privileged_16,Privilege-SD 16,aime25,8,30,0.26666666666666666,26.666666666666668,22,0.7333333333333333,9190.133333333333,3.5073847314511215,0,0.0,278.08239341375884,2.31735327844799,16.84430456161499,strict_acc1_full_denominator_unfinished_is_wrong,16,0.0,0.0,complete_current_matched_evaluation
trsd_16,TRSD 16,combined,,,,,,,,,,,,,,strict_acc1_full_denominator_unfinished_is_wrong,16,,,not_reported_current_matched_evaluation_intentionally_omitted
trsd_16,TRSD 16,amc23,,,,,,,,,,,,,,strict_acc1_full_denominator_unfinished_is_wrong,16,,,not_reported_current_matched_evaluation_intentionally_omitted
trsd_16,TRSD 16,aime24,,,,,,,,,,,,,,strict_acc1_full_denominator_unfinished_is_wrong,16,,,not_reported_current_matched_evaluation_intentionally_omitted
trsd_16,TRSD 16,aime25,,,,,,,,,,,,,,strict_acc1_full_denominator_unfinished_is_wrong,16,,,not_reported_current_matched_evaluation_intentionally_omitted
privileged_64,Privilege-SD 64,combined,90,143,0.6293706293706294,62.93706293706294,43,0.3006993006993007,6318.132867132867,3.4045642855008285,1,0.006993006993006993,282.1331893596147,11.206957244006917,16.863791942596436,strict_acc1_full_denominator_unfinished_is_wrong,64,0.09090909090909094,9.090909090909093,complete_current_matched_evaluation
privileged_64,Privilege-SD 64,amc23,64,83,0.7710843373493976,77.10843373493977,15,0.18072289156626506,5148.638554216867,3.400126831985061,1,0.012048192771084338,308.85536976036593,7.12083213614177,16.838916778564453,strict_acc1_full_denominator_unfinished_is_wrong,64,0.12048192771084343,12.048192771084343,complete_current_matched_evaluation
privileged_64,Privilege-SD 64,aime24,17,30,0.5666666666666667,56.666666666666664,10,0.3333333333333333,7537.5,3.28579325594251,0,0.0,235.16649009594306,1.9597207507995256,16.863791942596436,strict_acc1_full_denominator_unfinished_is_wrong,64,0.06666666666666665,6.666666666666665,complete_current_matched_evaluation
privileged_64,Privilege-SD 64,aime25,9,30,0.3,30.0,18,0.6,8334.366666666667,3.5195635741168094,0,0.0,255.16852284787456,2.1264043570656215,16.844300746917725,strict_acc1_full_denominator_unfinished_is_wrong,64,0.033333333333333326,3.3333333333333326,complete_current_matched_evaluation
trsd_64,TRSD 64,combined,102,143,0.7132867132867133,71.32867132867133,25,0.17482517482517482,5985.902097902098,3.5993663432961363,0,0.0,266.71335656277694,10.594447219021419,16.863791942596436,strict_acc1_full_denominator_unfinished_is_wrong,64,0.1748251748251749,17.48251748251749,complete_current_matched_evaluation
trsd_64,TRSD 64,amc23,70,83,0.8433734939759037,84.33734939759036,8,0.0963855421686747,4812.493975903614,3.377253484279123,0,0.0,293.2067454637825,6.760044409303874,16.83900737762451,strict_acc1_full_denominator_unfinished_is_wrong,64,0.19277108433734946,19.277108433734945,complete_current_matched_evaluation
trsd_64,TRSD 64,aime24,19,30,0.6333333333333333,63.333333333333336,7,0.23333333333333334,7281.533333333334,3.721743588804556,0,0.0,220.706316102137,1.8392193008511417,16.863791942596436,strict_acc1_full_denominator_unfinished_is_wrong,64,0.1333333333333333,13.33333333333333,complete_current_matched_evaluation
trsd_64,TRSD 64,aime25,13,30,0.43333333333333335,43.333333333333336,10,0.3333333333333333,7936.7,3.8597065951003984,0,0.0,239.42202106396823,1.9951835088664018,16.844297885894775,strict_acc1_full_denominator_unfinished_is_wrong,64,0.16666666666666669,16.666666666666668,complete_current_matched_evaluation
