method,query_id,source,math_verify_correct,truncated,generated_tokens,error
vanilla,amc23:0101026970b08af1ad28625a431c9bdfcccaaa6c8d548842569bb7e8167ca455,amc23,True,False,5180,
vanilla,amc23:0579384f111c0fe9ed53f68027eadcf7f068939806bc3aa0b1f4b10720f999da,amc23,True,False,1937,
vanilla,amc23:07b9c484882e267d20422574c9c903f676c255259b9ca652377701c5359e052b,amc23,True,False,2261,
vanilla,amc23:0a32b11020e2d860796af14fbbb41349123e7cd9f7a531f7c44aaa505d43aa38,amc23,False,False,4515,
vanilla,amc23:0f88e3d1bf2c5b017e71ba2ea628315d5ed94921867d1f66c68086f414547efa,amc23,True,False,5669,
vanilla,amc23:17cb7a4ee35f47df166623a6cc530bce483dee8a13562f84526df4ca187021ab,amc23,True,False,2212,
vanilla,amc23:1b0d9cd3c430e32006453ba2e3355555109007e679f9ef9ae8480e4573e0bcfd,amc23,True,True,10240,
vanilla,amc23:1cc0b66b4fdbd9538dae4c3993c415bd7deff1e05e463d6fb2156d86946ba230,amc23,False,True,10240,
vanilla,amc23:1dfd51df023fb8dfae8597934e33833b5452340070de57effb11919c9ed03bd9,amc23,True,False,1027,
vanilla,amc23:1ee532595152756fb4d07064c14dbbc18de7b8c4d7e0746a110805946ab754ff,amc23,True,False,2861,
vanilla,amc23:2a63d16d2b0a8fd7612aa93f22439b54aa86f21a6301662771b31c5d1979eea0,amc23,True,False,3354,
vanilla,amc23:2bcd935ef65a0ce135babeb7581864fb17098e66cd325cb4de41897d1b4b2fad,amc23,True,True,10240,
vanilla,amc23:2bd4fe90c2c8302b8bb4f71502955f37cca7727c6d7b19d9128487732e284ec4,amc23,True,False,602,
vanilla,amc23:2fef41e34422fcff8a92f23a1e8cefe0c84eeb54096005d945069a62f6a73b7d,amc23,True,False,3652,
vanilla,amc23:33ec5d7092fdfe30eaece0d8954252e365462e30d0775fc26b0d6b3662d9fc46,amc23,True,False,1264,
vanilla,amc23:34055b747dd7589da7426630fa1d3913c41de6c93329b6a544119e24eaaad6a5,amc23,True,False,3991,
vanilla,amc23:34b7e15dd5e80ce908acd5ffc9ef6872ad9a431acd41064f96910a3a21cda033,amc23,True,False,3866,
vanilla,amc23:34f4eefeef254c3a884a85c1c95fcbf5a3470810327b2f6a0efa3f2bc1645f59,amc23,True,False,1243,
vanilla,amc23:36cbea47cc5c536193bc2c9ec08ddf4bbd244a0ab67649f8c2790779cbe5d565,amc23,True,False,389,
vanilla,amc23:3892f9b402cc1d4397e455e7089d89f26d79e7b23c70641bfd48aad6b2bcfad1,amc23,True,False,1665,
vanilla,amc23:392c49c5d4483b635745ee84c1567f2437265c94ac93ac23b672ecf4f279241c,amc23,True,False,1102,
vanilla,amc23:3f1690da831c19579866169a921172ddf33989c23288d773b56fe6e4d3b90453,amc23,True,False,2007,
vanilla,amc23:3f5c637d52d65b47918a6764052f21db4a5ec0af0360a345b7f9e332e8fbf472,amc23,True,False,1622,
vanilla,amc23:41eb3f5f38c5931eaf64054a5654ff42abafa6d50eb6dccf93159cabdf2435fe,amc23,False,True,10240,
vanilla,amc23:42c2fdf8663dbcebc44e5264552ca358503e4c69d15506ad00d08fb2f2780d07,amc23,True,False,1155,
vanilla,amc23:43a47a3682574d0013250823ee0b4e09f230a09d5c3cea9702509249574b0f61,amc23,True,False,997,
vanilla,amc23:443411e68c6b5b184bf20bc71a959e26e0455074717e337b4a1bf14b43724531,amc23,True,False,533,
vanilla,amc23:4466d88877646a8a885bd2492ad58f4f9100632bb0665d24d4a1f99ef504d02d,amc23,True,False,1418,
vanilla,amc23:44e8c69a75fc70f09d64f2b16fb15c6b19f9783318264438b48a8b3191247436,amc23,True,False,3643,
vanilla,amc23:456f57ca351865da0e2a1b6f386971dca00d85817f7a1dc8e3b653054f92d23b,amc23,True,False,1315,
vanilla,amc23:485a3b9ebe607aeaa63fb0d303f2aa0182411dec382a87c8641d80813afeec80,amc23,True,False,890,
vanilla,amc23:51714060dd55c7cb3035eb15eee5a78e4f4f90446a79ddf80480c7b890f5648b,amc23,True,False,561,
vanilla,amc23:556fcb2237639a503bd11388a346f5ea95e1ec98ba7753497362539b5ec4c57e,amc23,True,False,6033,
vanilla,amc23:55aaba6d125868230247f185a0a52cc40751cce1c378e673ba56709d0444c2d7,amc23,True,False,1458,
vanilla,amc23:5716b1b1c4594746531529f5053ad11baa3547a5c1749f205cd888a38684a97e,amc23,True,False,1172,
vanilla,amc23:58acf5dc1f9727ce938f56f20027e414f8a659298989aaf03fd200637a052df8,amc23,True,False,1818,
vanilla,amc23:5fda78a8aaa29a6ea5545dc2bcefbe11af351b501753ae69107e9d57a1453d24,amc23,True,False,1429,
vanilla,amc23:6109ab70c280078771088d1b998e3d2364f0ea70d5bb9cc410a9b896947b162e,amc23,False,True,10240,
vanilla,amc23:6529281306a5556f2db9b18525e46452f6f434440ea85593b77c4178f76b4486,amc23,True,False,4930,
vanilla,amc23:698343f47eddf760b7d123e1c71022dd959481f5a399b7808c07b85478b4d429,amc23,True,False,1485,
vanilla,amc23:6bc26377a24cf0a1b625373d8ea738bd6ec8432a2b11e88a33c19012d7fd0129,amc23,True,False,349,
vanilla,amc23:76e2a609540741d3f60c8cfe8249ff0fe44f0ffd12c8a99b86aac0b540c6a572,amc23,True,False,4292,
vanilla,amc23:7cc69cc8ef9485d29e93d61a8b58b018f5b5edb43ce50babe39ccfe4983c919b,amc23,True,False,903,
vanilla,amc23:7e499e5f0882293d9fda2549375fc120f08583c1bde929b8427c21998cbad5e2,amc23,True,False,6074,
vanilla,amc23:7fb869044130dbc4b46c9b0be3702d8cab9143fe52c089694f0e93315b931b1b,amc23,False,False,8965,
vanilla,amc23:81371eaa87d2e9f9e9f02f961589b0db553f40722a9016043ea2c83d74a6afbd,amc23,True,False,5483,
vanilla,amc23:81d580f5223b433e347e989677a0e1344a8503a15c1910968ada106d0db1c6fb,amc23,True,False,2781,
vanilla,amc23:887a1c3ca2685a71c47a6c01ba448769d51c198ea517b8f55d3e741876b4088d,amc23,True,False,1902,
vanilla,amc23:8e9939774afd19e619a71d65cb77a22bc73acdfc4cd6f9ff6ba4ea3757417675,amc23,True,False,3029,
vanilla,amc23:975171b713a2d2911f85b9430c1a642dc7795a635209e7968323bf76daedb8d0,amc23,False,False,6538,
vanilla,amc23:98527fed63830fc5367463d7dbff992163d25fcd2dd451ac1173492eb5dbb604,amc23,True,False,1344,
vanilla,amc23:9b70cbc652d501d6171d7cad566aa0b41c728653377933922b85fccf27539bc6,amc23,True,False,2147,
vanilla,amc23:a19e295c1cae405e3b0b84c59959b1f70176f8c06a1b240c9f59915fd678b522,amc23,True,False,5897,
vanilla,amc23:a4b1b6d256739cb4069a3eb0f39780e2949541618d3b2f5dca0a98a103a4fe3f,amc23,True,False,812,
vanilla,amc23:a8c44eb2e7e442bb08f61ab859496b716d1c73f9dd6221dc0f89bbebf05c4be8,amc23,True,False,4830,
vanilla,amc23:ad788c6148fcbff56c1020045accf4196e61cca7bb79b2ebba00ab5fcabcdace,amc23,True,False,3973,
vanilla,amc23:afd07732ad263cd123c7efced3811e8f72528122338c98414123f6dd80f68e86,amc23,True,False,800,
vanilla,amc23:b36e114dd9190791ae2859a481023e2a4b71ee2e5eee700c7e3cd1bf5ed6452c,amc23,True,False,1105,
vanilla,amc23:b4dc7e5ecb380931af87eaba0cab03290a583a827b1fc07e5339a8746cd64714,amc23,True,False,3495,
vanilla,amc23:b608b1e05d2a06e44f9a02fec9e6569170c9194dea9fff6439e5bcb8cfb5081c,amc23,True,False,1187,
vanilla,amc23:b81a8c8267075f99502d08dc4804a698f5ad7408cd5b690fa20138019fb98055,amc23,True,False,2789,
vanilla,amc23:bbac3f52c8639878c026e2f5bba5b6259aa35376ae7508468cdade8ffd559214,amc23,True,False,646,
vanilla,amc23:bbf5acf31a859bf54499461100c1302250813df93895e9bd3cc881f6978d3c66,amc23,True,False,896,
vanilla,amc23:bc3ba284e49260cf117c0de67d0e8298b140d1b0c85998e84a01813dd192d43a,amc23,True,False,4086,
vanilla,amc23:bd84457f39aebe7edf69e3e6e431e0f47874ef506408cdc941eb5c84f188fad6,amc23,True,False,4539,
vanilla,amc23:c1ae05ec022f9bcc9a11c1b0edb0195bc2d31aec3895d1580181add8efbbc6e4,amc23,True,False,4649,
vanilla,amc23:c44d27282e47a9f05c02254b9072913d8f6bb1fb4775890ed8a107143a2ad64a,amc23,True,False,1900,
vanilla,amc23:cdcb5c95090106c846f9107dac536de34166b84eb21301856adf42f2c399cb37,amc23,True,False,1932,
vanilla,amc23:d31000037cb3644393d26e571c65e04594f86638450b81264d7afaa99a381424,amc23,True,False,4603,
vanilla,amc23:d4c5dac6893325408eeb74b0c5652ba7a612ce12fc7e93f2e6fe443de951bf4a,amc23,True,False,635,
vanilla,amc23:d529b529d9b906fd26d8434344905f5db7c6951fd28681385a6016dbe63d8b6c,amc23,True,True,10240,
vanilla,amc23:d8be75e401c85ac9cbb59c23ce5db98a46bcdbc20a3859432d3e6c100c944874,amc23,True,False,1047,
vanilla,amc23:dabb9bf12135229bbe367565dfc750b0b379dbfe304944b290c68a0a1c1739d8,amc23,True,False,7332,
vanilla,amc23:e7ac3c84f70d8ebdf9844556c090f20f4b2ebc66506f7d47f19404e1a53dc254,amc23,True,False,823,
vanilla,amc23:ead36adb680e3bc2f013d37f49c85242ff58e44c43942c0e420bc945062da169,amc23,True,False,10054,
vanilla,amc23:ee87beeb37a38aaf69fbae16f50f1a29b67ba132258875a444b04974a83a1f36,amc23,False,True,10240,
vanilla,amc23:f3c79f4d3492658c8a6aeeac5dc870c103082e4f69ff6cbdbbe7aabce361c4e5,amc23,True,False,6886,
vanilla,amc23:f4205ea4b7ccc91f035f07c9dab5a6bea9da1345980c68717b4c5752e2770da7,amc23,True,False,2207,
vanilla,amc23:f4e4443fc07303023e8a17332db5239a6a6f621983228462e2d6ec8a4a0c588c,amc23,True,False,3354,
vanilla,amc23:f870fac68b39e70cf099bfb00bc8e209f50e5bf971b2235fae70b8fcef416c6b,amc23,True,False,1367,
vanilla,amc23:faba8d39ac19933345960f1aa493bc7235efea2deafa91c8567e92887a375579,amc23,True,False,2309,
vanilla,amc23:fc61934c458afc9cb297c62cbad9d3e1f14c4030c57317b38974c14c851701a6,amc23,True,False,2611,
vanilla,amc23:fcfec02c358494762790d6a6b4a56b509342ae4aa0f9ae9c61351a83cce7ff96,amc23,True,False,988,
vanilla,aime24:015197614be4299c0d123c77d987526109a9b3b9a79f8568636d29c775323e24,aime24,False,True,10240,
vanilla,aime24:01f4378fc0aa8d4ad347260572db3350ecd0f93dff0e7f2847c7610963cae0b5,aime24,False,True,10240,
vanilla,aime24:10c80ba48d1803c48df550827e6e2c3b4b8ef3e0aba30c507798eabf30aeea2e,aime24,False,False,7681,
vanilla,aime24:21db44a1eb19aba4568c77a3a1c623e7e57485539a76265b43902887364f6ef3,aime24,False,False,3665,
